width,thickness,wec_mass,fitness,generation
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.235294117647059,1.956078431372549,71176.4705882353,[[0.06870864]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],85
4.0,2.508235294117647,297058.8235294118,[[0.52590939]],85
4.0,2.508235294117647,57058.82352941176,[[0.00396152]],85
